"Kind","Line","Property","Fallback","Code"
"GetPropertyValueWithDefault","9240","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9248","BorderWidth","1","bool flag = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BorderWidth"", 1) < 2;"
"GetPropertyValueWithDefault","9264","ShowFillLevel","false","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowFillLevel"", defaultValue: false);"
"GetPropertyValueWithDefault","9324","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9333","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9342","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9354","BorderWidth","1","if (flag || HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BorderWidth"", 1) <= 1)"
"GetPropertyValueWithDefault","9358","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9373","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9381","BorderWidth","1","bool flag = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""BorderWidth"", 1) < 2;"
"GetPropertyValueWithDefault","9387","ShowFillLevel","false","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowFillLevel"", defaultValue: false);"
"GetPropertyValueWithDefault","9724","DrawInsideFrame","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""DrawInsideFrame"", defaultValue: true);"
"GetPropertyValueWithDefault","9866","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9871","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9876","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9881","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9886","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9891","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9896","Analog","true","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true))"
"GetPropertyValueWithDefault","9905","Analog","true","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true))"
"GetPropertyValueWithDefault","9916","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","9923","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9928","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9933","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9938","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9943","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9948","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9953","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9958","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9963","Analog","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9980","Analog","true","bool propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9987","Analog","true","bool propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","9994","Analog","true","bool propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true);"
"GetPropertyValueWithDefault","10003","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","10011","NumberStyle","ClockNumberStyle.NoNumber","ClockNumberStyle propertyValueWithDefault = HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""NumberStyle"", ClockNumberStyle.NoNumber);"
"GetPropertyValueWithDefault","10012","Analog","true","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""Analog"", defaultValue: true))"
"GetPropertyValueWithDefault","11751","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","11885","ShowDate","true","if (HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowDate"", defaultValue: true) || dateTimeType != DateTimeType.Output)"
"GetPropertyValueWithDefault","12509","UseDesignColorSchema","true","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12553","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12565","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12577","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12597","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12617","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12641","ShowFillLevel","false","return !HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""ShowFillLevel"", defaultValue: false);"
"GetPropertyValueWithDefault","12691","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
"GetPropertyValueWithDefault","12700","UseDesignColorSchema","true","return HmiScreenItem.GetPropertyValueWithDefault(hmiScreenItem, ""UseDesignColorSchema"", defaultValue: true);"
